[ 5.75672469  5.98639159],4,2
[ 5.67573292  6.08996294],5,4
[ 6.18781364  7.39551189],5,1
[ 5.99007867  6.23994463],4,2
[0 0],9,4
[0 0],9,5
[0 0],9,8
[0 0],9,9
[ 6.48822358  5.93205259],3,2
[ 5.77357715  8.15094985],4,9
[ 9.25874942  5.1362624 ],6,4
[ 8.40968704 -0.92425633],4,8
[0 0],9,6
[-15.94466773  45.26199036],8,9
[ 7.11074484  0.48077225],8,5
connection failed s 3
[Errno 113] No route to host
sensor 3 unplugged
[0 0],9,9
[ 10.70877703   9.19528141],4,5
[0 0],9,8
[0 0],9,6
[ 6.98295055  7.34468652],3,4
[ 13.17733601  20.42060565],5,9
[ 6.17692196  7.78920458],4,5
[0 0],9,8
[0 0],9,6
[ 12.04095912  13.05190756],5,9
[0 0],9,8
[0 0],9,2
[0 0],9,2
[0 0],9,8
[0 0],9,5
[0 0],9,6
[ 12.04095912  13.05190756],5,9
[ 6.09318186  6.14660071],5,8
[  8.50247436  13.88309037],6,6
[0 0],9,5
[ 12.99935412   1.89382188],4,8
[ 12.03674073  13.03119158],5,9
[ 12.980394    20.40481969],5,4
[0 0],9,8
[ 11.46903859  10.7275707 ],4,5
[0 0],9,6
[ 3.03086858 -1.97942044],5,1
[ 7.75329459  3.9999996 ],4,6
[ 6.02568329  6.38304205],3,2
[ 8.36307921 -0.27363539],3,8
[0 0],9,1
[ 11.03143925  12.94615921],5,2
[ 13.38295943  20.32577274],5,9
[ 11.14845967  15.26084112],5,4
[ 5.97014402  5.86739174],4,1
[0 0],9,5
[0 0],9,6
[ 7.37563066  7.08291263],4,2
[ 11.65323894  15.36313931],5,4
[0 0],9,8
[ 23.71080094  40.78379746],7,5
[0 0],9,6
[ 12.95361751  20.31529645],5,4
[ 9.66882973  1.55411574],5,5
[0 0],9,6
[ 7.28927336  7.14048199],4,2
[ 12.04522131  13.06323469],5,9
[ 6.35353059  7.32519239],3,5
[0 0],9,6
[ 6.33273847  5.93204228],4,2
[ 8.5812343   6.27917624],5,4
[ 6.00035793  5.95295994],2,4
[0 0],9,9
[ 6.07758817  7.26717504],3,5
[ 6.1297094  -2.57390587],4,9
[ 5.71206342 -5.21851244],5,5
[0 0],9,6
[ 18.93993007   6.61123124],7,8
[ 7.32279282  4.65842098],2,2
[ 12.33289468  17.40062659],5,4
[0 0],9,9
[ 11.73298775  15.01391805],5,4
[ 9.28498489  4.2529083 ],4,9
[  6.00000079  15.85790244],9,1
[0 0],9,2
[0 0],9,5
[ 24.27663341  32.96041652],8,6
[ 6.0452792   5.08640042],3,1
[0 0],9,9
[ 11.12472222  14.36430968],6,4
[ 11.16276191  13.80031221],7,2
[ 11.92714343   0.04855462],4,6
[ 25.08855417  40.52696807],7,5
[ 9.20253631  5.07262703],6,1
[ 12.79853367  18.36981387],5,9
[ 6.31918016  5.64478465],4,2
[ 2.71303337 -2.19130998],6,4
[0 0],9,5
[ 5.6231001   5.45323837],4,1
[ 7.35850168  7.09433642],5,2
[ 13.80267207  22.68288948],6,4
[0 0],9,9
[ 5.95142868  6.32284735],4,2
[ 9.87252484  5.93567128],3,9
[0 0],9,5
[ 10.22671946   5.18218687],3,1
[0 0],9,6
[0 0],9,8
[ 5.10790653  8.59472729],4,4
[0 0],9,5
[ 13.09116164  13.26747922],5,2
[ 5.98900693  6.06339928],2,4
[ 10.97979997   4.68013449],9,9
[0 0],9,6
[ 8.44956008  3.99999011],4,8
[ 7.19807274  5.1817995 ],3,2
[0 0],9,5
[ 8.85136888  6.09908921],3,9
[ 5.63924037  6.08846507],5,2
[ 11.55604829  15.34695498],6,4
[0 0],9,1
[0 0],9,5
[ 6.46961828  5.88728663],4,1
[0 0],9,6
[0 0],9,8
[ 6.46961828  5.88728663],4,1
[0 0],9,6
[0 0],9,8
[ 5.6581938   6.09109403],5,2
[0 0],9,4
[0 0],9,9
[0 0],9,2
[0 0],9,4
[ 11.60523485   1.80783245],3,6
[0 0],9,8
[0 0],9,5
[0 0],9,6
[ 12.2970738   -4.19806827],5,4
[ 17.15654392  -7.43767395],8,2
[0 0],9,6
[0 0],9,1
[0 0],9,9
[ 6.83699912  9.74072599],6,4
[ 5.88185395  5.39821831],3,1
[0 0],9,5
[ 9.39891343  5.73405793],3,6
[ 6.73437867  7.51041467],4,9
[ 10.94870692   3.99999996],4,4
[ 5.83945591 -3.52027743],5,5
[0 0],9,8
[0 0],9,6
[ 8.73856739  5.05112214],8,1
[ 12.10759053  13.72095259],5,9
[0 0],9,8
[0 0],9,4
[ 6.15687697  7.89539495],2,5
[ 17.2497583   -7.49983714],7,2
[ 9.13284263  6.0392136 ],3,8
[ 9.15607653  6.421803  ],6,1
[ 6.53175504  6.37035313],3,8
[0 0],9,9
[0 0],9,6
[0 0],9,5
[ 9.12251159  1.91832739],5,6
[0 0],9,4
[0 0],9,2
[0 0],9,4
[ 13.00585425  13.28818176],4,5
[0 0],9,9
[ 10.72693186   3.11417268],3,6
[ 6.15588929  6.82378585],5,8
[ 5.89745088  5.68095202],4,4
[ 11.79570879  15.20635224],5,4
[0 0],9,5
[0 0],9,9
[ 9.17238558  3.9999995 ],3,8
[0 0],9,6
[ 10.36445123   4.00000013],3,4
[0 0],9,1
[ 14.22470665  26.11208556],6,9
[ 5.85923026  7.15833011],4,1
[ 5.37064366 -0.32950404],4,5
[ 12.023933    10.80245325],4,9
[0 0],9,6
[0 0],9,8
[0 0],9,5
[ 10.68393182   7.21449533],3,9
[ 6.8208608   6.43361797],4,2
[ 7.64227173  3.99999974],7,4
[0 0],9,1
[ 6.01052429  5.94317979],3,1
[ 6.70202496  3.99999947],7,4
[ 12.35607335  11.65430296],4,5
[ 12.56633321  17.73474022],5,9
[0 0],9,4
[ 10.77920469   8.17079928],3,5
[ 11.39418653   9.28006769],3,5
[ 11.5185302   11.94705956],5,2
[ 12.5895863   13.52006622],5,9
[0 0],9,6
[0 0],9,8
[ 10.38838007   4.00000558],3,9
[ 7.71301045  3.99999951],4,4
[ 10.38768043   4.00000454],3,9
[0 0],9,2
[ 11.40787432   8.85833476],4,5
[ 5.92890687  6.23666424],5,2
[0 0],9,6
[0 0],9,8
[0 0],9,1
[ 12.18862838  13.54375559],5,9
[ 11.98470893  12.57563021],6,2
[0 0],9,1
[ 12.52492558  12.14715232],4,5
[ 12.14741727  13.43487388],5,9
[ 11.70221366   9.61162029],4,2
[ 10.31360637   7.16849705],6,9
[ 4.51633722  4.49455447],5,6
[ 16.28668903  -2.85776864],7,8
[0 0],9,5
[ 11.88741296   2.2313506 ],4,6
[ 11.49861743  10.17363261],4,9
[ 12.2613826   11.58701522],4,5
[ 8.97954528 -1.06992991],3,9
[ 8.86219929  9.74541886],3,5
[0 0],9,6
[  6.17971181  15.65856801],9,8
[0 0],9,4
[ 10.13632935   6.69248888],4,5
[0 0],9,9
[ 10.61378353   4.00000215],4,8
[0 0],9,5
[0 0],9,4
[0 0],9,6
[0 0],9,9


